"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
8410,"1LA6","heliport","Highland Hospital Heliport",32.423301696777344,-93.71720123291016,260,"NA","US","US-LA","Shreveport","no","1LA6",,"1LA6",,,
8411,"1LA7","heliport","Savoy Medical Center Heliport",30.642499923706055,-92.41780090332031,100,"NA","US","US-LA","Mamou","no","1LA7",,"1LA7",,,
8412,"1LA8","heliport","S.Fresh Water Bayou Heliport",29.60110092163086,-92.26010131835938,4,"NA","US","US-LA","Intracoastal City","no","1LA8",,"1LA8",,,
8413,"1LA9","heliport","Chevron Intracoastal Heliport",29.783000946044922,-92.15679931640625,,"NA","US","US-LA","Intracoastal City","no","1LA9",,"1LA9",,,
8414,"1LL0","small_airport","Boondox Field",41.329200744628906,-88.60009765625,625,"NA","US","US-IL","Seneca","no","1LL0",,"1LL0",,,
8415,"1LL1","heliport","Lawrence Co Memorial Hospital Heliport",38.728099823,-87.69470214840001,470,"NA","US","US-IL","Lawrenceville","no","1LL1",,"1LL1",,,
8416,"1LL2","small_airport","Spring Brook Airport",41.30059814453125,-88.6355972290039,500,"NA","US","US-IL","Seneca","no","1LL2",,"1LL2",,,
8417,"1LL4","small_airport","Sies Landing Area Airport",39.18339920043945,-89.70010375976562,690,"NA","US","US-IL","Litchfield","no","1LL4",,"1LL4",,,
8418,"1LL6","small_airport","Janssen Airport",42.22809982299805,-89.73819732666016,877,"NA","US","US-IL","Shannon","no","1LL6",,"1LL6",,,
8419,"1LL7","small_airport","Edwin G. Bennett Airport",41.34980010986328,-89.77320098876953,690,"NA","US","US-IL","Sheffield","no","1LL7",,"1LL7",,,
8420,"1LL8","small_airport","Zoomer Field",40.78889846801758,-87.55840301513672,680,"NA","US","US-IL","Sheldon","no","1LL8",,"1LL8",,,
8421,"1LL9","heliport","Reyhan Heliport",39.6776008605957,-89.80509948730469,600,"NA","US","US-IL","Loami","no","1LL9",,"1LL9",,,
8422,"1LS0","small_airport","Cal Mire Field",30.22410011291504,-90.88200378417969,14,"NA","US","US-LA","Gonzales","no","1LS0",,"1LS0",,,
8423,"1LS1","heliport","Cosmar Styrene Plant Heliport",30.22249984741211,-91.07279968261719,18,"NA","US","US-LA","Baton Rouge","no","1LS1",,"1LS1",,,
8424,"1LS2","heliport","Innis Community Health Center Heliport",30.87779998779297,-91.67919921875,45,"NA","US","US-LA","Innis","no","1LS2",,"1LS2",,,
8425,"1LS5","small_airport","Cameron Airstrip",29.803300857543945,-93.33460235595703,5,"NA","US","US-LA","Cameron","no","1LS5",,"1LS5",,,
8426,"1LS8","small_airport","Summerell Airport",31.682100296020508,-91.49870300292969,64,"NA","US","US-LA","Ferriday","no","1LS8",,"1LS8",,,
8427,"1M3","small_airport","Ardmore Airport",34.977901458740234,-86.88469696044922,920,"NA","US","US-AL","Ardmore","no","1M3",,"1M3",,,
8428,"1M7","small_airport","Fulton Airport",36.525901794433594,-88.91560363769531,400,"NA","US","US-KY","Fulton","no","1M7",,"1M7",,"http://en.wikipedia.org/wiki/Fulton_Airport",
8429,"1M8","small_airport","Myricks Airport",41.8390998840332,-71.02649688720703,71,"NA","US","US-MA","Berkley","no","1M8",,"1M8",,,
8430,"1MA0","heliport","Jordan Hospital Heliport",41.941001892089844,-70.64689636230469,122,"NA","US","US-MA","Plymouth","no","1MA0",,"1MA0",,,
8431,"1MA1","heliport","Deaconess Nashoba Hospital Heliport",42.576499938964844,-71.5739974975586,308,"NA","US","US-MA","Ayer","no","1MA1",,"1MA1",,,
8432,"1MA2","heliport","UMASS Memorial Medical Center-Univ Campus Heliport",42.2750015259,-71.7600021362,417,"NA","US","US-MA","Worcester","no","1MA2",,"1MA2",,,
8433,"1MA4","heliport","Wang Heliport",42.60929870605469,-71.32170104980469,104,"NA","US","US-MA","Lowell","no","1MA4",,"1MA4",,,
8434,"1MA5","small_airport","Unknown Field",42.27899932861328,-71.54779815673828,432,"NA","US","US-MA","Southborough","no","1MA5",,"1MA5",,,
8435,"1MA6","heliport","Micron Heliport",42.067901611328125,-72.74449920654297,245,"NA","US","US-MA","Southwick","no","1MA6",,"1MA6",,,
8436,"1MA7","heliport","Long Hill Orchard Heliport",42.4734001159668,-70.97889709472656,120,"NA","US","US-MA","West Newbury","no","1MA7",,"1MA7",,,
8437,"1MA8","heliport","Horizon Hill Heliport",42.41999816894531,-71.30940246582031,336,"NA","US","US-MA","Lincoln","no","1MA8",,"1MA8",,,
8438,"1MA9","heliport","Morton Hospital Heliport",41.90589904785156,-71.09420013427734,50,"NA","US","US-MA","Taunton","no","1MA9",,"1MA9",,,
8439,"1MD0","heliport","Clng Cove Point Heliport",38.39179992675781,-76.40799713134766,133,"NA","US","US-MD","Lusby","no","1MD0",,"1MD0",,,
8440,"1MD1","small_airport","Big Oak Farm Airport",38.569000244140625,-76.28630065917969,4,"NA","US","US-MD","Cambridge","no","1MD1",,"1MD1",,,
8441,"1MD3","small_airport","Krastel Farms Airport",39.308998107910156,-75.98770141601562,75,"NA","US","US-MD","Kennedyville","no","1MD3",,"1MD3",,,
8442,"1MD4","heliport","Prince George's Hospital Center Heliport",38.930301666259766,-76.9207992553711,297,"NA","US","US-MD","Cheverly","no","1MD4",,"1MD4",,,
8443,"1MD5","heliport","Federal Support Center Heliport",39.192100524902344,-77.10659790039062,510,"NA","US","US-MD","Laytonsville","no","1MD5",,"1MD5",,,
8444,"1MD6","heliport","Metroplex Heliport",38.94620132446289,-76.86830139160156,99,"NA","US","US-MD","New Carrollton","no","1MD6",,"1MD6",,,
8445,"1MD7","heliport","Shady Grove Adventist Hospital Heliport",39.098201751708984,-77.1968994140625,475,"NA","US","US-MD","Rockville","no","1MD7",,"1MD7",,,
8446,"1MD8","small_airport","Mayberry Run Airport",39.682899475097656,-77.09719848632812,580,"NA","US","US-MD","Westminster/Silver Run","no","1MD8",,"1MD8",,,
8447,"1MD9","heliport","Washington County Hospital Heliport",39.637298583984375,-77.7146987915039,589,"NA","US","US-MD","Hagerstown","no","1MD9",,"1MD9",,,
8448,"1ME","seaplane_base","Chesuncook Lake House Seaplane Base",46.0609016418457,-69.4094009399414,942,"NA","US","US-ME","Chesuncook","no","1ME",,"1ME",,,
8449,"1ME1","heliport","Victor Heliport",44.41059875488281,-69.00920104980469,180,"NA","US","US-ME","Belfast","no","1ME1",,"1ME1",,,
8450,"1MI0","seaplane_base","Ashman Island Seaplane Base",46.068599700927734,-83.72419738769531,580,"NA","US","US-MI","Drummond Island","no","1MI0",,"1MI0",,,
8451,"1MI1","small_airport","Nikkila Farms Airport",46.702701568603516,-88.99739837646484,1100,"NA","US","US-MI","Mass","no","1MI1",,"1MI1",,,
8452,"1MI2","heliport","Guardian Industries Heliport",42.699798583984375,-83.24739837646484,1021,"NA","US","US-MI","Auburn Hills","no","1MI2",,"1MI2",,,
8453,"1MI3","small_airport","Black River Ranch Airport",45.19580078125,-84.32170104980469,880,"NA","US","US-MI","Onaway","no","1MI3",,"1MI3",,,
8454,"1MI4","small_airport","Ramsy Farm Airport",45.83890151977539,-87.32240295410156,880,"NA","US","US-MI","Perronville","no","1MI4",,"1MI4",,,
8455,"1MI5","small_airport","Mckenzie's Landing Airport",42.60309982299805,-83.85970306396484,955,"NA","US","US-MI","Howell","no","1MI5",,"1MI5",,,
8456,"1MI6","small_airport","Rosedale Airport",46.377799987799996,-84.3110961914,675,"NA","US","US-MI","Sault Ste Marie","no","1MI6",,"1MI6",,,
8457,"1MI7","small_airport","Thompson Airport",44.31669998168945,-84.06670379638672,857,"NA","US","US-MI","Selkirk","no","1MI7",,"1MI7",,,
8458,"1MI8","small_airport","Vlachos Acres Airport",44.84669876098633,-83.63690185546875,785,"NA","US","US-MI","Hubbard","no","1MI8",,"1MI8",,,
8459,"1MI9","small_airport","Southfork Airport",46.472198486328125,-87.35009765625,660,"NA","US","US-MI","Marquette","no","1MI9",,"1MI9",,,
8460,"1MN0","small_airport","Wetherbee Farm Airport",46.04359817504883,-96.54620361328125,980,"NA","US","US-MN","Tenney","no","1MN0",,"1MN0",,,
8461,"1MN1","small_airport","Beyer Airport",45.97330093383789,-96.56420135498047,1000,"NA","US","US-MN","Tenney","no","1MN1",,"1MN1",,,
8462,"1MN2","small_airport","Hay Acres Airport",45.938201904296875,-94.76069641113281,1430,"NA","US","US-MN","Akiey","no","1MN2",,"1MN2",,,
8463,"1MN3","heliport","Northern Itasca Health Care Center Heliport",47.74720001220703,-93.64630126953125,1320,"NA","US","US-MN","Bigfork","no","1MN3",,"1MN3",,,
8464,"1MN4","seaplane_base","Krueger Loon Lake Seaplane Base",46.62220001220703,-95.8364028930664,1370,"NA","US","US-MN","Vergas","no","1MN4",,"1MN4",,,
8465,"1MN5","small_airport","Molnau Airpark",44.84360122680664,-93.73999786376953,1000,"NA","US","US-MN","Waconia","no","1MN5",,"1MN5",,,
8466,"1MN6","heliport","Cook Hospital Heliport",47.85300064086914,-92.6791000366211,1315,"NA","US","US-MN","Cook","no","1MN6",,"1MN6",,,
8467,"1MN7","heliport","Cuyuna Regional Medical Center Heliport",46.482200622558594,-93.943603515625,1255,"NA","US","US-MN","Crosby","no","1MN7",,"1MN7",,,
8468,"1MN8","small_airport","Sky Harbor Residential Airpark",44.52579879760742,-93.32689666748047,1111,"NA","US","US-MN","Webster","no","1MN8",,"1MN8",,,
8469,"1MN9","heliport","Jackson Medical Center Heliport",43.624698638916016,-95.00440216064453,1450,"NA","US","US-MN","Jackson","no","1MN9",,"1MN9",,,
8470,"1MO1","heliport","St Joseph Hospital Heliport",38.56809997558594,-90.43399810791016,530,"NA","US","US-MO","Kirkwood","no","1MO1",,"1MO1",,,
8471,"1MO2","small_airport","Hart Airport",38.54949951171875,-94.47660064697266,825,"NA","US","US-MO","Freeman","no","1MO2",,"1MO2",,,
8472,"1MO3","small_airport","Lake Viking Airport",39.93339920043945,-94.07379913330078,940,"NA","US","US-MO","Gallatin","no","1MO3",,"1MO3",,,
8473,"1MO4","small_airport","Longwood Mfg Corp Airport",39.891700744628906,-93.86409759521484,800,"NA","US","US-MO","Gallatin","no","1MO4",,"1MO4",,,
8474,"1MO6","small_airport","Double S Ranch Airport",36.83620071411133,-90.72229766845703,737,"NA","US","US-MO","Grandin","no","1MO6",,"1MO6",,,
8475,"1MO7","small_airport","Hines Airport",40.36389923095703,-91.9751968383789,750,"NA","US","US-MO","Gorin","no","1MO7",,"1MO7",,,
8476,"1MO8","small_airport","Sherlock Field",38.25279998779297,-92.8030014038086,800,"NA","US","US-MO","Gravois Mills","no","1MO8",,"1MO8",,,
8477,"1MO9","small_airport","Eagle's Point & Red Barn Village Airpark",37.47919845581055,-93.85160064697266,1040,"NA","US","US-MO","Greenfield","no","1MO9",,"1MO9",,,
8478,"1MS0","small_airport","Tapley Airport",33.59980010986328,-90.78119659423828,129,"NA","US","US-MS","Shaw","no","1MS0",,"1MS0",,,
8479,"1MS1","heliport","Neshoba General Hospital Heliport",32.757279,-89.105745,388,"NA","US","US-MS","Philadelphia","no","1MS1",,"1MS1",,,
8480,"1MS2","small_airport","Peterson Airport",32.94179916381836,-89.93060302734375,240,"NA","US","US-MS","Goodman","no","1MS2",,"1MS2",,,
8481,"1MS3","heliport","Montfort Jones Memorial Hospital Heliport",33.066001892089844,-89.597900390625,455,"NA","US","US-MS","Kosciusko","no","1MS3",,"1MS3",,,
8482,"1MS4","heliport","Methodist Medical Center Heliport",32.287899017333984,-90.2562026977539,366,"NA","US","US-MS","Jackson","no","1MS4",,"1MS4",,,
8483,"1MS5","heliport","General Dan C Mills Emergency Heliport",34.888999938964844,-89.7029037475586,44,"NA","US","US-MS","Byhalia","no","1MS5",,"1MS5",,,
8484,"1MS6","small_airport","Eagles Ridge Airport",34.797298431396484,-89.91310119628906,262,"NA","US","US-MS","Hernando","no","1MS6",,"1MS6",,,
8485,"1MS7","heliport","Smith County General Hospital Heliport",31.99959945678711,-89.51950073242188,535,"NA","US","US-MS","Raleigh","no","1MS7",,"1MS7",,,
8486,"1MS8","small_airport","Columbus Air Force Base Aux Field Airfield",32.9401016235,-88.5792007446,260,"NA","US","US-MS","Shuqualak","no","1MS8",,"1MS8",,,
8487,"1MS9","small_airport","Piker-Too Airport",31.01180076599121,-90.96820068359375,300,"NA","US","US-MS","Centreville","no","1MS9",,"1MS9",,,
8488,"1MT0","small_airport","Nine Quarter Circle Ranch Airport",45.06740188598633,-111.2969970703125,6974,"NA","US","US-MT","Gallatin Gateway","no","1MT0",,"1MT0",,,
8489,"1MT1","heliport","Krinitt Helicopters Heliport",45.774200439453125,-111.2030029296875,4474,"NA","US","US-MT","Belgrade","no","1MT1",,"1MT1",,,
8490,"1MT2","small_airport","Skyrider Ultralightport",45.94309997558594,-108.54900360107422,3540,"NA","US","US-MT","Billings","no","1MT2",,"1MT2",,,
8491,"1MT3","small_airport","Wood Strip",46.558101654052734,-112.41200256347656,5100,"NA","US","US-MT","Elliston","no","1MT3",,"1MT3",,,
8492,"1MT4","small_airport","Davis Airport",46.688499450683594,-111.87100219726562,3780,"NA","US","US-MT","Helena","no","1MT4",,"1MT4",,,
8493,"1MT5","heliport","Holy Rosary Heliport",46.39459991455078,-105.8290023803711,2372,"NA","US","US-MT","Miles City","no","1MT5",,"1MT5",,,
8494,"1MT6","small_airport","Bobcat Field",46.35689926147461,-113.51000213623047,4824,"NA","US","US-MT","Philipsburg","no","1MT6",,"1MT6",,,
8495,"1MT7","small_airport","Prill Field",47.42110061645508,-111.15899658203125,3420,"NA","US","US-MT","Sand Coulee","no","1MT7",,"1MT7",,,
8496,"1MT8","heliport","St. James Heliport",46.0093994140625,-112.54499816894531,5733,"NA","US","US-MT","Butte","no","1MT8",,"1MT8",,,
8497,"1MT9","small_airport","Wilcox Airport",45.78919982910156,-108.68399810791016,3390,"NA","US","US-MT","Billings","no","1MT9",,"1MT9",,,
8498,"1MU0","small_airport","Medcalf Field",37.16669845581055,-93.56269836425781,1260,"NA","US","US-MO","Republic","no","1MU0",,"1MU0",,,
8499,"1MU1","seaplane_base","Lake Taney Como Seaplane Base",36.66669845581055,-93.154296875,716,"NA","US","US-MO","Rockaway Beach","no","1MU1",,"1MU1",,,
